text,label,category
오늘 해야 할 일: 디지털 파일 정리 시작하기,2,생산성
새로운 사람과 대화 꼭 하기,3,관계
하루 한 가지: 채소 위주 식사하기 시작하기,0,건강
실천항목: 홈트레이닝 30분,0,건강
갓생 미션: 명상 5분 하기,1,마음챙김
갓생 미션: 탄산음료 끊기 완수하기,0,건강
하루 한 가지: 카페인 2잔 이하로 줄이기 도전!,0,건강
밤 11시 이전 취침,0,건강
하루 한 가지: 계단 이용하기 완수하기,0,건강
갓생 미션: 당분 섭취 줄이기 완료하기,0,건강
갓생 미션: 생일 챙겨주기 지키기,3,관계
다짐: 미루던 일 하나 해결,2,생산성
오늘 해야 할 일: 셀프 케어 시간 갖기 시작하기,1,마음챙김
목표: 독서 모임 참가 도전!,4,자기성장
하루 한 가지: 소모임 만들기 완료하기,3,관계
갓생 미션: 동창회 참석하기 완수하기,3,관계
챌린지: 스트레스 해소 방법 찾기 시작하기,1,마음챙김
갓생 미션: 팀원과 점심 함께 실천하기,3,관계
다짐: 앱으로 칼로리 기록하기,0,건강
갓생 미션: 카페인 2잔 이하로 줄이기 완료하기,0,건강
오늘 해야 할 일: 자동화 가능한 작업 파악 실천하기,2,생산성
손 편지 써서 보내기,3,관계
챌린지: 균형 잡힌 영양소 섭취 실천하기,0,건강
목표: 원페이지 보고서 작성 도전!,2,생산성
밤 11시 이전 취침 도전!,0,건강
긴 작업 청크로 나누기,2,생산성
도전: 중요한 일 먼저 처리 완수하기,2,생산성
집중 시간 2시간 확보,2,생산성
공감 일기 쓰기,3,관계
도전: 멘토링 받기 완수하기,4,자기성장
오늘의 미션: 불필요한 구독 서비스 해지 완수하기,2,생산성
실천항목: 영어 단어 20개 외우기 해내기,4,자기성장
챌린지: 책 30페이지 읽기 완수하기,4,자기성장
오늘의 미션: 디지털 파일 정리,2,생산성
하루 한 가지: 투자 공부 시작,4,자기성장
실천항목: 비타민 챙겨 먹기,0,건강
오늘 해야 할 일: 느리게 걷기 연습 지키기,1,마음챙김
하루 한 가지: 복잡한 생각 정리하기 지키기,1,마음챙김
목표: 충분한 식사 시간 확보 지키기,0,건강
갓생 미션: 배드민턴 치기 완수하기,0,건강
다짐: 요가 15분 하기,0,건강
목표: 비판 대신 공감하기,3,관계
주 3회 근력 운동,0,건강
갓생 미션: 저자 강연 신청 도전!,4,자기성장
실천항목: 비타민 챙겨 먹기 실천하기,0,건강
다짐: 부정적 생각 흘려보내기,1,마음챙김
오늘 해야 할 일: SNS 사용 시간 제한 설정 꼭 하기,2,생산성
하루 한 가지: 디지털 디톡스 1시간 완료하기,1,마음챙김
갓생 미션: 일주일의 감사함 기록,1,마음챙김
하루 한 가지: 혼자만의 시간 갖기,1,마음챙김
하루 한 가지: 온라인 강의 1강 수강,4,자기성장
오늘 해야 할 일: 슬랙 채널 정리 실천하기,2,생산성
하루 한 가지: 몸의 긴장 풀기 지키기,1,마음챙김
오늘의 미션: 자전거로 출퇴근하기 해내기,0,건강
책 30페이지 읽기,4,자기성장
오늘의 미션: 커뮤니티 활동 참여 실천하기,3,관계
업무 일지 작성 도전!,2,생산성
도전: 손 편지 써서 보내기 완료하기,3,관계
블로그 글 한 편 쓰기,4,자기성장
실천항목: 완벽주의 내려놓기 지키기,1,마음챙김
갈등 상황 먼저 해소하기,3,관계
오늘 해야 할 일: 요가 15분 하기,0,건강
목표: 멘토링 받기 도전!,4,자기성장
실천항목: 감사한 사람 목록 쓰기,3,관계
느리게 걷기 연습,1,마음챙김
오늘의 미션: 관심 있는 분야 강의 검색 꼭 하기,4,자기성장
자기 자신에게 친절하게 대하기 실천하기,1,마음챙김
챌린지: 동창회 참석하기 시작하기,3,관계
서로 다른 점 이해하고 수용하기,3,관계
챌린지: 아침 루틴에 명상 포함,1,마음챙김
목표: 공감 일기 쓰기 꼭 하기,3,관계
갓생 미션: 완벽주의 내려놓기 지키기,1,마음챙김
소중한 사람에게 마음 표현,3,관계
오늘의 미션: 새 분야 탐색하기 도전!,4,자기성장
책상 정리하기 실천하기,2,생산성
오늘 해야 할 일: 자신의 감정 이름 붙이기 완수하기,1,마음챙김
오늘의 미션: 물 2리터 마시기,0,건강
일기 쓰기 10분 실천하기,1,마음챙김
목표: 계획한 공부 시간 지키기 실천하기,4,자기성장
분노를 표현하기 전에 10초 기다리기,1,마음챙김
다짐: 7시간 숙면 취하기 완료하기,0,건강
오늘의 미션: 스마트폰 알림 끄기 해내기,2,생산성
다짐: 반려동물과 시간 보내기 도전!,3,관계
실천항목: 갈등 중인 관계 먼저 화해 꼭 하기,3,관계
챌린지: 자원봉사 신청하기 시작하기,3,관계
실천항목: 마음의 짐 내려놓기 해내기,1,마음챙김
챌린지: 퇴근 전 내일 To-Do 작성 지키기,2,생산성
도전: 관심 있는 분야 강의 검색 도전!,4,자기성장
목표: 관심 있는 분야 강의 검색 완수하기,4,자기성장
오늘 해야 할 일: 오래된 지인에게 안부 묻기 실천하기,3,관계
하루 한 가지: 좋아하는 음악 듣기 꼭 하기,1,마음챙김
갓생 미션: 일주일의 감사함 기록 완수하기,1,마음챙김
하루 한 가지: 협력 프로젝트 제안 도전!,3,관계
생산성 앱 세팅 지키기,2,생산성
다짐: SNS 사용 시간 제한 설정 시작하기,2,생산성
일기 쓰기 10분,1,마음챙김
다짐: 지연된 업무 다시 시작 도전!,2,생산성
오늘 해야 할 일: 오전 골든타임 활용 시작하기,2,생산성
배움 일지 작성 완수하기,4,자기성장
할일 목록 우선순위 정리 지키기,2,생산성
목표: 토론 영상 보며 논리 강화 실천하기,4,자기성장
챌린지: 경제 신문 읽기 실천하기,4,자기성장
목표: 필라테스 클래스 참여 꼭 하기,0,건강
회의록 정리하기 완수하기,2,생산성
챌린지: 사이드 프로젝트 1시간 작업 완료하기,4,자기성장
목표: 관련 유튜브 영상 시청 지키기,4,자기성장
실천항목: 디지털 디톡스 1시간,1,마음챙김
목표: 자원봉사 신청하기 완수하기,3,관계
다짐: 파트너와 데이트하기,3,관계
주변 소리에 귀 기울이기,1,마음챙김
하루 한 가지: 새 기술 데모 만들기 시작하기,4,자기성장
불필요한 구독 서비스 해지,2,생산성
아침 조깅 20분 시작하기,0,건강
넷플릭스 혼자 보지 말고 함께 보기,3,관계
체중 관리 일지 작성 지키기,0,건강
도전: 부모님께 전화하기 해내기,3,관계
온라인 강의 1강 수강,4,자기성장
오늘의 미션: 온라인 코딩 1시간 공부 꼭 하기,4,자기성장
챌린지: 타인에게 친절 베풀기 꼭 하기,3,관계
챌린지: 체중 관리 일지 작성,0,건강
도전: 집중 시간 2시간 확보,2,생산성
챌린지: 선물 준비하기 완료하기,3,관계
도전: 뉴스 소비 줄이기 실천하기,1,마음챙김
실천항목: 체중 관리 일지 작성 실천하기,0,건강
오늘 해야 할 일: 집중 시간 2시간 확보 실천하기,2,생산성
하루 한 가지: 자격증 공부 시작 완료하기,4,자기성장
목표: 회의 시간 효율화 실천하기,2,생산성
실천항목: 디지털 디톡스 1시간 시작하기,1,마음챙김
다짐: 앱으로 칼로리 기록하기 도전!,0,건강
갓생 미션: 호흡 명상 실천 시작하기,1,마음챙김
오늘의 미션: 카페인 2잔 이하로 줄이기,0,건강
자동화 가능한 작업 파악,2,생산성
하루 한 가지: 유용한 정보 공유 지키기,4,자기성장
목표: 약속 잡기 완료하기,3,관계
하루 한 가지: 업무 시작 30분 전 준비하기 실천하기,2,생산성
오늘의 미션: 친구의 고민 들어주기 꼭 하기,3,관계
도전: 배움 일지 작성 완수하기,4,자기성장
목표: 친구에게 먼저 연락하기 시작하기,3,관계
도전: 오늘의 성과 되돌아보기 시작하기,2,생산성
실천항목: 아침 공복 물 한 잔 마시기 완료하기,0,건강
갓생 미션: 오전 골든타임 활용 도전!,2,생산성
멘토에게 연락하기 완수하기,3,관계
도전: 약점 극복 방법 찾기,4,자기성장
챌린지: 프로젝트 진행 상황 점검 완수하기,2,생산성
오늘의 미션: 아침 조깅 20분 완료하기,0,건강
도전: 친구와 함께 운동 완수하기,3,관계
오늘 해야 할 일: 오늘 배운 것 노트에 기록 도전!,4,자기성장
하루 한 가지: 자기 자신에게 친절하게 대하기 시작하기,1,마음챙김
갓생 미션: 자기소개서 한 문단 작성 도전!,4,자기성장
지금 이 순간에 감사하기,1,마음챙김
생일 챙겨주기,3,관계
당분 섭취 줄이기,0,건강
실천항목: 자전거로 출퇴근하기 실천하기,0,건강
오늘 해야 할 일: 친구와 함께 운동 지키기,3,관계
체중 관리 일지 작성,0,건강
오늘 해야 할 일: 밤 11시 이전 취침 시작하기,0,건강
하루 한 가지: 비전 보드 만들기,4,자기성장
챌린지: 새로운 기술 배우기 완료하기,4,자기성장
다짐: 부모님께 전화하기 해내기,3,관계
실천항목: 동료에게 칭찬 한 마디 완수하기,3,관계
목표: 온라인 코딩 1시간 공부 도전!,4,자기성장
멀티태스킹 줄이기 도전!,2,생산성
도전: 새 언어 앱 30분 연습,4,자기성장
실천항목: 오늘 30분 달리기 도전!,0,건강
하루 한 가지: 걱정 목록 적고 던져버리기 해내기,1,마음챙김
갓생 미션: 디지털 파일 정리,2,생산성
실천항목: 갈등 중인 관계 먼저 화해 실천하기,3,관계
경제 신문 읽기,4,자기성장
오늘 해야 할 일: 갈등 상황 먼저 해소하기,3,관계
도전: 파트너와 데이트하기 해내기,3,관계
오늘 해야 할 일: 가족 단체 채팅방 활성화 시작하기,3,관계
실천항목: 뉴스 소비 줄이기 지키기,1,마음챙김
다짐: 새로운 기술 배우기 실천하기,4,자기성장
책 30페이지 읽기 완수하기,4,자기성장
실천항목: 7시간 숙면 취하기,0,건강
좋아하는 음악 듣기 지키기,1,마음챙김
실천항목: 부모님께 전화하기 꼭 하기,3,관계
목표: 단백질 식품 챙겨 먹기,0,건강
주간 계획 수립 지키기,2,생산성
실천항목: 비전 보드 만들기 완료하기,4,자기성장
갓생 미션: 버킷리스트 업데이트 완수하기,4,자기성장
다짐: 주 3회 근력 운동 완수하기,0,건강
실천항목: 수영 1시간 시작하기,0,건강
오늘의 미션: 소중한 사람에게 마음 표현,3,관계
도전: 마음의 짐 내려놓기,1,마음챙김
조용히 차 한 잔 마시며 쉬기,1,마음챙김
갓생 미션: 가족과 저녁 식사 함께하기 실천하기,3,관계
챌린지: 가족 단체 채팅방 활성화,3,관계
비판 대신 관찰하기,1,마음챙김
목표: 조용히 차 한 잔 마시며 쉬기,1,마음챙김
오늘의 미션: 감정 일기 작성 완료하기,1,마음챙김
도전: 퇴근 전 내일 To-Do 작성 꼭 하기,2,생산성
도전: 책상 정리하기,2,생산성
하루 한 가지: 자연 속에서 10분 보내기 실천하기,1,마음챙김
오늘 해야 할 일: 느리게 걷기 연습,1,마음챙김
도전: 집중력 향상 음악 활용 완수하기,2,생산성
도전: 데스크탑 바탕화면 정리 완료하기,2,생산성
목표: 단백질 식품 챙겨 먹기 도전!,0,건강
도전: 충동적 반응 줄이기,1,마음챙김
갓생 미션: 단백질 식품 챙겨 먹기 완수하기,0,건강
목표: 무언가 한 가지에만 집중하기 지키기,1,마음챙김
나에게 편지 쓰기 해내기,1,마음챙김
실천항목: 스트레칭 10분 하기,0,건강
도전: SNS 사용 시간 제한 설정 시작하기,2,생산성
실천항목: SNS 사용 시간 제한 설정 해내기,2,생산성
목표: 당분 섭취 줄이기 지키기,0,건강
갓생 미션: 캔들 켜고 독서하기 꼭 하기,1,마음챙김
갓생 미션: 조용히 차 한 잔 마시며 쉬기 지키기,1,마음챙김
갓생 미션: 약속 잡기,3,관계
목표: 테드 강의 1편 보기 완료하기,4,자기성장
다짐: 사이드 프로젝트 1시간 작업 완료하기,4,자기성장
도전: 반신욕 20분 즐기기 완수하기,0,건강
챌린지: 일기 쓰기 10분 도전!,1,마음챙김
하루 한 가지: 업무 환경 최적화,2,생산성
도전: 감정 일기 작성 완료하기,1,마음챙김
느리게 걷기 연습 해내기,1,마음챙김
갓생 미션: 강점 목록 작성 실천하기,4,자기성장
오늘 해야 할 일: 토론 영상 보며 논리 강화,4,자기성장
다짐: 일일 목표 3가지 설정 해내기,2,생산성
실천항목: 뉴스 소비 줄이기 도전!,1,마음챙김
오늘의 미션: 감사일기 3줄 쓰기 지키기,1,마음챙김
하루 한 가지: 새로운 기술 배우기 도전!,4,자기성장
오늘 30분 달리기 해내기,0,건강
갓생 미션: 물 2리터 마시기,0,건강
목표: 책 30페이지 읽기 꼭 하기,4,자기성장
갓생 미션: 감정 일기 작성,1,마음챙김
새 언어 앱 30분 연습 해내기,4,자기성장
오늘의 미션: 건강 검진 예약하기 실천하기,0,건강
다짐: 반려동물과 시간 보내기,3,관계
하루 한 가지: 할일 목록 우선순위 정리 도전!,2,생산성
스마트폰 알림 끄기,2,생산성
오늘의 미션: 뉴스 소비 줄이기,1,마음챙김
오늘의 미션: 느리게 걷기 연습 실천하기,1,마음챙김
하루 한 가지: 오래된 지인에게 안부 묻기,3,관계
도전: 관심 있는 분야 강의 검색 시작하기,4,자기성장
다짐: 노션 정리하기 완료하기,2,생산성
하루 한 가지: 미루던 일 하나 해결 완료하기,2,생산성
자기소개서 한 문단 작성,4,자기성장
챌린지: 좋아하는 음악 듣기 완료하기,1,마음챙김
부정적 생각 흘려보내기,1,마음챙김
챌린지: 계단 이용하기 시작하기,0,건강
하루 한 가지: 복잡한 생각 정리하기 시작하기,1,마음챙김
하루 한 가지: 채소 위주 식사하기,0,건강
다짐: 저나트륨 식단 지키기 지키기,0,건강
오늘 해야 할 일: 밤 11시 이전 취침 도전!,0,건강
실천항목: 소셜미디어 무음 모드 시작하기,1,마음챙김
오늘 해야 할 일: 건강 검진 예약하기,0,건강
오늘 해야 할 일: 핸드폰 없이 밥 먹기 해내기,0,건강
도전: 선물 준비하기,3,관계
캔들 켜고 독서하기,1,마음챙김
갓생 미션: 불필요한 미팅 줄이기 도전!,2,생산성
오늘의 미션: 탄산음료 끊기 실천하기,0,건강
하루 한 가지: 오늘의 성과 되돌아보기 완료하기,2,생산성
다짐: 넷플릭스 혼자 보지 말고 함께 보기,3,관계
실천항목: 일주일의 감사함 기록 시작하기,1,마음챙김
갓생 미션: 포모도로 기법 4세트 실행 지키기,2,생산성
책상 정리하기,2,생산성
실천항목: 동료에게 칭찬 한 마디 실천하기,3,관계
다짐: 저자 강연 신청,4,자기성장
다짐: 감사한 사람 목록 쓰기 꼭 하기,3,관계
갓생 미션: 두려운 일 하나 도전 실천하기,4,자기성장
갓생 미션: 자동화 가능한 작업 파악 실천하기,2,생산성
챌린지: 팀원과 점심 함께 실천하기,3,관계
복잡한 생각 정리하기,1,마음챙김
하루 한 가지: 불필요한 미팅 줄이기 꼭 하기,2,생산성
하루 한 가지: 오늘의 성과 되돌아보기 실천하기,2,생산성
목표: 피드백 요청하기 도전!,4,자기성장
도전: 7시간 숙면 취하기 시작하기,0,건강
생산성 앱 세팅,2,생산성
오늘의 미션: 점심 식사 후 10분 걷기 해내기,0,건강
실천항목: 사이드 프로젝트 1시간 작업,4,자기성장
도전: SNS 댓글 달아주기 완수하기,3,관계
갓생 미션: 감사한 사람 목록 쓰기,3,관계
오늘 해야 할 일: 분노를 표현하기 전에 10초 기다리기 지키기,1,마음챙김
갓생 미션: 비교하지 않기 챌린지 지키기,1,마음챙김
갓생 미션: 자기계발 책 구매,4,자기성장
도전: 일기 쓰기 10분,1,마음챙김
반신욕 20분 즐기기,0,건강
도전: 타인의 관점에서 생각해보기 시작하기,3,관계
퇴근 전 내일 To-Do 작성,2,생산성
하루 한 가지: 비타민 챙겨 먹기,0,건강
도전: 나에게 편지 쓰기 완료하기,1,마음챙김
하루 한 가지: 감사 인사 전하기 실천하기,3,관계
갓생 미션: 지연된 업무 다시 시작 해내기,2,생산성
목표: 업무 시작 30분 전 준비하기 꼭 하기,2,생산성
챌린지: 소음 없는 환경에서 식사하기 완료하기,1,마음챙김
오늘의 미션: 후배 지원해주기 해내기,3,관계
자연 속에서 10분 보내기,1,마음챙김
챌린지: 자신의 감정 이름 붙이기 완료하기,1,마음챙김
하루 한 가지: 갈등 중인 관계 먼저 화해 도전!,3,관계
오늘 해야 할 일: 반복 작업 체크리스트화 완료하기,2,생산성
목표: 커뮤니티 활동 참여 완수하기,3,관계
목표: 영어 단어 20개 외우기 도전!,4,자기성장
갓생 미션: 체중 관리 일지 작성 도전!,0,건강
챌린지: 타인에게 친절 베풀기,3,관계
오늘의 미션: 함께 요리하기 지키기,3,관계
오늘 해야 할 일: 5년 후 목표 설정 지키기,4,자기성장
도전: 아침 루틴에 명상 포함 실천하기,1,마음챙김
부모님께 전화하기,3,관계
도전: 경제 신문 읽기 실천하기,4,자기성장
하루 한 가지: 자전거로 출퇴근하기 완수하기,0,건강
갓생 미션: 멘토에게 연락하기 실천하기,3,관계
수영 1시간,0,건강
갓생 미션: 혼자만의 시간 갖기,1,마음챙김
오늘 해야 할 일: 몸의 긴장 풀기,1,마음챙김
하루 한 가지: 완벽주의 내려놓기 시작하기,1,마음챙김
오늘의 미션: 일주일의 감사함 기록 완수하기,1,마음챙김
스프레드시트 데이터 정리 시작하기,2,생산성
동창회 참석하기,3,관계
나에게 편지 쓰기,1,마음챙김
가족 단체 채팅방 활성화 해내기,3,관계
목표: 온라인 강의 1강 수강 해내기,4,자기성장
새 언어 앱 30분 연습,4,자기성장
목표: 토론 영상 보며 논리 강화,4,자기성장
오늘 해야 할 일: 지금 이 순간에 감사하기 실천하기,1,마음챙김
다짐: 친구의 고민 들어주기 완료하기,3,관계
갓생 미션: 원페이지 보고서 작성 완수하기,2,생산성
오늘의 미션: 단백질 식품 챙겨 먹기 실천하기,0,건강
소셜미디어 무음 모드 완수하기,1,마음챙김
목표: 투자 공부 시작 완수하기,4,자기성장
다짐: 실패 경험에서 배움 찾기 지키기,4,자기성장
챌린지: 영어 단어 20개 외우기,4,자기성장
하루 한 가지: 현재 순간에 집중하기 시작하기,1,마음챙김
서로 다른 세대와 대화하기,3,관계
긍정 확언 5가지 말하기,1,마음챙김
복잡한 생각 정리하기 완수하기,1,마음챙김
갓생 미션: 앱으로 칼로리 기록하기 도전!,0,건강
감사일기 3줄 쓰기 도전!,1,마음챙김
실천항목: 함께 요리하기 지키기,3,관계
오늘의 미션: 자료 아카이빙 하기 완수하기,2,생산성
오늘 해야 할 일: 마음챙김 산책 하기 도전!,1,마음챙김
실천항목: 스마트폰 알림 끄기 완료하기,2,생산성
오늘 해야 할 일: 가족과 저녁 식사 함께하기 완수하기,3,관계
챌린지: 새 분야 탐색하기 완료하기,4,자기성장
챌린지: 혼자만의 시간 갖기 완료하기,1,마음챙김
다짐: SNS 댓글 달아주기 완료하기,3,관계
갓생 미션: 업무 시작 30분 전 준비하기 지키기,2,생산성
오늘 해야 할 일: 탄산음료 끊기,0,건강
챌린지: 점심 식사 후 10분 걷기 지키기,0,건강
경제 신문 읽기 시작하기,4,자기성장
저녁 산책 30분,0,건강
하루 한 가지: 넷플릭스 혼자 보지 말고 함께 보기 도전!,3,관계
하루 한 가지: 경청 연습하기 꼭 하기,3,관계
갓생 미션: 부정적 생각 흘려보내기,1,마음챙김
하루 한 가지: 규칙적인 식사 시간 지키기 해내기,0,건강
자기소개서 한 문단 작성 시작하기,4,자기성장
실천항목: 실패 경험에서 배움 찾기,4,자기성장
오늘의 미션: 오늘 업무 계획 세우기 시작하기,2,생산성
걱정 목록 적고 던져버리기,1,마음챙김
목표: 아침 조깅 20분 지키기,0,건강
요가 15분 하기,0,건강
토론 영상 보며 논리 강화,4,자기성장
도전: 필라테스 클래스 참여 해내기,0,건강
갓생 미션: 새 분야 탐색하기,4,자기성장
오늘 해야 할 일: 불필요한 구독 서비스 해지 실천하기,2,생산성
하루 한 가지: 5년 후 목표 설정,4,자기성장
오늘 해야 할 일: 소중한 사람에게 마음 표현 시작하기,3,관계
목표: 책상 정리하기 해내기,2,생산성
실천항목: 이웃에게 인사하기 시작하기,3,관계
목표: 업무 환경 최적화 실천하기,2,생산성
다짐: 충동적 반응 줄이기,1,마음챙김
주변 소리에 귀 기울이기 완료하기,1,마음챙김
물 2리터 마시기,0,건강
도전: 몸의 긴장 풀기,1,마음챙김
다짐: 셀프 케어 시간 갖기 지키기,1,마음챙김
오늘 해야 할 일: 관련 유튜브 영상 시청 완수하기,4,자기성장
오전 골든타임 활용,2,생산성
저나트륨 식단 지키기 시작하기,0,건강
목표: 주 3회 근력 운동 도전!,0,건강
실천항목: 소셜미디어 무음 모드 실천하기,1,마음챙김
실천항목: 멘토에게 연락하기,3,관계
오늘 해야 할 일: 긍정 확언 5가지 말하기 지키기,1,마음챙김
오늘 해야 할 일: 주간 계획 수립,2,생산성
하루 한 가지: 토론 영상 보며 논리 강화,4,자기성장
단백질 식품 챙겨 먹기,0,건강
오늘 해야 할 일: 분노를 표현하기 전에 10초 기다리기 해내기,1,마음챙김
하루 한 가지: 긴 작업 청크로 나누기 실천하기,2,생산성
호흡 명상 실천,1,마음챙김
목표: 회의 시간 효율화 시작하기,2,생산성
실천항목: 감사일기 3줄 쓰기 해내기,1,마음챙김
도전: 포모도로 기법 4세트 실행 시작하기,2,생산성
목표: 금주 하루 실천하기 시작하기,0,건강
목표: 토론 영상 보며 논리 강화 완수하기,4,자기성장
다짐: 가족과 저녁 식사 함께하기 시작하기,3,관계
목표: 슬랙 채널 정리 해내기,2,생산성
실천항목: 과일 하루 한 개 먹기 완료하기,0,건강
목표: 친구의 고민 들어주기 실천하기,3,관계
실천항목: 주간 계획 수립 완료하기,2,생산성
목표: 혼자만의 시간 갖기 완수하기,1,마음챙김
챌린지: 기억하고 싶은 내용 복습 해내기,4,자기성장
도전: 스마트폰 사용 2시간 줄이기 꼭 하기,1,마음챙김
갓생 미션: 몸의 긴장 풀기,1,마음챙김
다짐: 물 2리터 마시기 완수하기,0,건강
다짐: 영어 단어 20개 외우기,4,자기성장
하루 한 가지: 협력 프로젝트 제안 완수하기,3,관계
오늘의 미션: 균형 잡힌 영양소 섭취,0,건강
도전: 손 편지 써서 보내기,3,관계
실천항목: 걱정 목록 적고 던져버리기,1,마음챙김
다짐: 필라테스 클래스 참여 실천하기,0,건강
아침 루틴에 명상 포함,1,마음챙김
오늘 해야 할 일: 오전 골든타임 활용,2,생산성
데스크탑 바탕화면 정리,2,생산성
챌린지: 타인의 관점에서 생각해보기 꼭 하기,3,관계
도전: 가족과 저녁 식사 함께하기 도전!,3,관계
원페이지 보고서 작성,2,생산성
오늘 해야 할 일: 감사일기 3줄 쓰기 꼭 하기,1,마음챙김
오늘 해야 할 일: 할일 목록 우선순위 정리 지키기,2,생산성
건강 검진 예약하기,0,건강
오늘 해야 할 일: 5년 후 목표 설정 시작하기,4,자기성장
책 30페이지 읽기 시작하기,4,자기성장
챌린지: 금주 하루 실천하기 해내기,0,건강
실천항목: 친구에게 먼저 연락하기,3,관계
목표: 새 언어 앱 30분 연습,4,자기성장
불필요한 미팅 줄이기,2,생산성
갓생 미션: 허리 스트레칭 루틴 완수하기,0,건강
도전: 블로그 글 한 편 쓰기 시작하기,4,자기성장
하루 한 가지: 슬랙 채널 정리 실천하기,2,생산성
오늘 해야 할 일: 업무 시작 30분 전 준비하기 꼭 하기,2,생산성
목표: 블로그 글 한 편 쓰기 지키기,4,자기성장
실천항목: 아침 공복 물 한 잔 마시기 꼭 하기,0,건강
투자 공부 시작,4,자기성장
챌린지: 매일 1% 성장 실천 꼭 하기,4,자기성장
오늘 해야 할 일: 하루 1만 보 걷기 도전!,0,건강
오늘의 미션: 반복 작업 체크리스트화 지키기,2,생산성
5년 후 목표 설정,4,자기성장
멀티태스킹 줄이기,2,생산성
멘토링 받기,4,자기성장
오늘의 미션: 물 2리터 마시기 실천하기,0,건강
목표: 새로운 사람과 대화 지키기,3,관계
실천항목: 홈트레이닝 30분 완료하기,0,건강
챌린지: 생일 챙겨주기 실천하기,3,관계
가족 단체 채팅방 활성화 꼭 하기,3,관계
무언가 한 가지에만 집중하기 시작하기,1,마음챙김
도전: 멀티태스킹 줄이기 시작하기,2,생산성
가족과 저녁 식사 함께하기,3,관계
허리 스트레칭 루틴,0,건강
일주일의 감사함 기록,1,마음챙김
중요 연락처 정리,2,생산성
할일 목록 우선순위 정리,2,생산성
갓생 미션: 약점 극복 방법 찾기 완수하기,4,자기성장
챌린지: 멘토링 받기,4,자기성장
오늘 해야 할 일: 집중력 향상 음악 활용 꼭 하기,2,생산성
오늘 해야 할 일: 새 분야 탐색하기,4,자기성장
목표: 자동화 가능한 작업 파악 지키기,2,생산성
목표: 관심 있는 분야 강의 검색 도전!,4,자기성장
목표: 경청 연습하기 완수하기,3,관계
하루 한 가지: 노션 정리하기 시작하기,2,생산성
하루 한 가지: 미루던 일 하나 해결 실천하기,2,생산성
하루 한 가지: 팀원과 점심 함께 완수하기,3,관계
목표: 기억하고 싶은 내용 복습 해내기,4,자기성장
챌린지: 갈등 상황 먼저 해소하기 실천하기,3,관계
갓생 미션: 회의 시간 효율화 실천하기,2,생산성
오늘의 미션: 오늘의 성과 되돌아보기 완수하기,2,생산성
계획한 공부 시간 지키기 지키기,4,자기성장
주변 소리에 귀 기울이기 해내기,1,마음챙김
갓생 미션: SNS 댓글 달아주기 완수하기,3,관계
